Date,1 USD to INR conversion rate
19/12/2020,73.6044
18/12/2020,73.6098
17/12/2020,73.5522
16/12/2020,73.6059
15/12/2020,73.5258
14/12/2020,73.6454
13/12/2020,73.7573
12/12/2020,73.7355
11/12/2020,73.7383
10/12/2020,73.7842
9/12/2020,73.8005
8/12/2020,73.7265
7/12/2020,73.799
6/12/2020,73.7948
5/12/2020,73.7958
4/12/2020,73.7985
3/12/2020,73.869
2/12/2020,73.6519
1/12/2020,73.4854
30/11/2020,74.0029
29/11/2020,73.9511
28/11/2020,73.9597
27/11/2020,73.9337
26/11/2020,73.8288
25/11/2020,73.7861
24/11/2020,73.9641
23/11/2020,74.246
22/11/2020,74.1421
21/11/2020,74.1617
20/11/2020,74.1655
19/11/2020,74.1096
18/11/2020,74.2549
17/11/2020,74.5015
16/11/2020,74.3434
15/11/2020,74.5026
14/11/2020,74.5379
13/11/2020,74.5379
12/11/2020,74.6796
11/11/2020,74.5251
10/11/2020,74.2974
9/11/2020,73.9796
8/11/2020,73.9733
7/11/2020,73.984
6/11/2020,73.9811
5/11/2020,74.1589
4/11/2020,74.1451
3/11/2020,74.6107
2/11/2020,74.4487
1/11/2020,74.6465
31/10/2020,74.6138
30/10/2020,74.5478
29/10/2020,74.2956
28/10/2020,74.1812
27/10/2020,73.8039
26/10/2020,73.9442
25/10/2020,73.8182
24/10/2020,73.8369
23/10/2020,73.8369
22/10/2020,73.682
21/10/2020,73.7296
20/10/2020,73.4822
19/10/2020,73.3828
18/10/2020,73.4473
17/10/2020,73.4444
16/10/2020,73.443
15/10/2020,73.3595
14/10/2020,73.2974
13/10/2020,73.4196
12/10/2020,73.3584
11/10/2020,73.004
10/10/2020,72.964
9/10/2020,72.964
8/10/2020,73.2677
7/10/2020,73.3442
6/10/2020,73.6196
5/10/2020,73.1092
4/10/2020,73.2855
3/10/2020,73.3254
2/10/2020,73.3198
1/10/2020,73.2337
30/09/2020,73.5282
29/09/2020,73.7139
28/09/2020,73.7319
27/09/2020,73.6844
26/09/2020,73.6994
25/09/2020,73.6994
24/09/2020,73.9365
23/09/2020,73.7652
22/09/2020,73.5063
21/09/2020,73.5766
20/09/2020,73.5713
19/09/2020,73.613
18/09/2020,73.613
17/09/2020,73.5724
16/09/2020,73.5327
15/09/2020,73.6216
14/09/2020,73.3851
13/09/2020,73.4871
12/09/2020,73.4765
11/09/2020,73.4765
10/09/2020,73.5283
09/09/2020,73.3275
08/09/2020,73.7528
07/09/2020,73.4398
06/09/2020,73.2519
05/09/2020,73.2462
04/09/2020,73.2462
03/09/2020,73.4456
02/09/2020,73.2286
01/09/2020,73.0616
31/08/2020,73.4378
30/08/2020,73.1393
29/08/2020,73.1288
28/08/2020,73.1288
27/08/2020,73.7821
26/08/2020,74.239
25/08/2020,74.2457
24/08/2020,74.1767
23/08/2020,74.9056
22/08/2020,74.9264
21/08/2020,74.9264
20/08/2020,74.9908
19/08/2020,74.9675
18/08/2020,74.5587
17/08/2020,74.728
16/08/2020,74.864
15/08/2020,74.8518
14/08/2020,74.8524
13/08/2020,74.8147
12/08/2020,74.7691
11/08/2020,74.6097
10/08/2020,74.8738
09/08/2020,75.011
08/08/2020,75.0227
07/08/2020,75.0379
06/08/2020,74.8992
05/08/2020,74.8969
04/08/2020,75.0443
03/08/2020,75.1258
02/08/2020,74.9308
01/08/2020,74.9319
31/07/2020,74.9314
30/07/2020,74.8434
29/07/2020,74.8203
28/07/2020,74.9151
27/07/2020,74.7784
26/07/2020,74.7436
25/07/2020,74.7218
24/07/2020,74.7218
23/07/2020,74.8515
22/07/2020,74.6064
21/07/2020,74.5328
20/07/2020,74.7488
19/07/2020,74.915
18/07/2020,74.8987
17/07/2020,74.8987
16/07/2020,75.1779
15/07/2020,75.1363
14/07/2020,75.3211
13/07/2020,75.2183
12/07/2020,75.1925
11/07/2020,75.1925
10/07/2020,75.1569
09/07/2020,75.1405
08/07/2020,74.9497
07/07/2020,74.9224
06/07/2020,74.6054
05/07/2020,74.6766
04/07/2020,74.6792
03/07/2020,74.6791
02/07/2020,74.6824
01/07/2020,75.455
30/06/2020,75.5596
29/06/2020,75.4932
28/06/2020,75.6125
27/06/2020,75.6249
26/06/2020,75.6249
25/06/2020,75.5276
24/06/2020,75.767
23/06/2020,75.6579
22/06/2020,75.7731
21/06/2020,76.2521
20/06/2020,76.2514
19/06/2020,76.2514
18/06/2020,76.3882
17/06/2020,76.2743
16/06/2020,76.3733
15/06/2020,75.9616
14/06/2020,75.9522
13/06/2020,75.954
12/06/2020,75.954
11/06/2020,76.0315
10/06/2020,75.6739
09/06/2020,75.4919
08/06/2020,75.3755
07/06/2020,75.5618
06/06/2020,75.5616
05/06/2020,75.5655
04/06/2020,75.4661
03/06/2020,75.3203
02/06/2020,75.0647
01/06/2020,75.5014
31/05/2020,75.5112
30/05/2020,75.5263
29/05/2020,75.5263
28/05/2020,75.7125
27/05/2020,75.8779
26/05/2020,75.5242
25/05/2020,75.8846
24/05/2020,75.9436
23/05/2020,75.9955
22/05/2020,75.9771
21/05/2020,75.6381
20/05/2020,75.5399
19/05/2020,75.7116
18/05/2020,75.6006
17/05/2020,75.8539
16/05/2020,75.8751
15/05/2020,75.8751
14/05/2020,75.4425
